# GJ 436b transmission spectrum 
# This file contains:
# WFC3 G141 - GO 11622 - Knutson, et al., 2014, Nature 
# Data history:
# Converted from: Knutson, et al., 2014, Nature 
# ----------------------------------------------------------------------------------------
# Wavelength (microns)  Delta Wavelength (microns)  (Rp/Rs)^2   (Rp/Rs)^2 +/-uncertainty
# ----------------------------------------------------------------------------------------
         1.1550000    0.00950003   0.00699400   0.00005000  
         1.1740000    0.00950003   0.00692400   0.00004000  
         1.1930000    0.00950003   0.00687200   0.00005700  
         1.2110000    0.00950003   0.00696800   0.00003900  
         1.2300000    0.00950003   0.00704600   0.00003800  
         1.2490000    0.00950003   0.00703600   0.00003900  
         1.2680000    0.00950003   0.00696700   0.00003500  
         1.2890000    0.00950003   0.00697900   0.00003500  
         1.3060000    0.00950003   0.00704300   0.00003800  
         1.3240000    0.00950003   0.00698900   0.00003800  
         1.3430001    0.00950003   0.00704600   0.00004200  
         1.3620000    0.00950003   0.00705700   0.00003700  
         1.3810000    0.00950003   0.00700600   0.00003700  
         1.4000000    0.00950003   0.00703600   0.00005000  
         1.4190000    0.00950003   0.00707200   0.00004600  
         1.4380000    0.00950003   0.00703000   0.00004200  
         1.4560000    0.00950003   0.00704400   0.00004200  
         1.4750000    0.00950003   0.00694800   0.00003900  
         1.4940000    0.00950003   0.00700800   0.00003900  
         1.5130000    0.00950003   0.00705700   0.00004000  
         1.5319999    0.00950003   0.00702200   0.00004400  
         1.5510000    0.00950003   0.00701800   0.00004000  
         1.5700001    0.00950003   0.00701000   0.00003700  
         1.5880001    0.00950003   0.00695900   0.00004000  
         1.6070000    0.00950003   0.00699400   0.00004400  
         1.6260000    0.00950003   0.00698400   0.00004400  
         1.6450000    0.00950003   0.00698400   0.00005900  

