omega,0.2,0.4,0.6,0.8,rayleigh,0.0
0.5,0.078536,0.06540900000000001,0.051734,0.037472000000000005,0.12005171882410366,0.08843332333418844
0.55,0.09172999999999999,0.077248,0.062092999999999995,0.046209,0.13761952990541487,0.10299551272146663
0.6,0.10675,0.090914,0.074271,0.056739,0.15712053987834948,0.1193659182592405
0.65,0.12405,0.10687999999999999,0.088753,0.06955399999999999,0.17866368793679843,0.1378968793610619
0.7,0.1443,0.12583,0.10622999999999999,0.08536,0.2035716317416587,0.15962933469910903
0.75,0.1685,0.14879,0.12775,0.10522999999999999,0.23237806825494292,0.18483889531264533
0.8,0.19825,0.17739000000000002,0.155,0.13089,0.2660483698510785,0.21563968382072957
0.85,0.23639000000000002,0.21455,0.19099000000000002,0.16544,0.30774804711329384,0.2547245275612151
0.9,0.28878000000000004,0.26631,0.24191999999999997,0.21529,0.36326068501408715,0.3071981228609158
0.95,0.37155,0.34931999999999996,0.32500999999999997,0.29828000000000005,0.44907685855936946,0.38997362028535865
0.99,0.51685,0.49742,0.47605,0.4524,0.598122074445833,0.5390153737624689
